Geospatial Injects ,,
Incident ,Address,Role/Participant Impacted
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores," 350 Park Ave, New York, NY 10022",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"1382 3rd Ave, New York, NY 10075",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"200 East 86th St, New York, NY 10028",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"52 E 8th St, New York, NY 10003",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"277 Canal St, New York, NY 10013",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"150 Delancey St, New York, NY 10002",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"1293 Broadway, New York, NY 10001",Information Warfare Team Member
Protests at Gate of Fort Hamilton in response to rumors that US Army Responsible for Covid-19,"Fort Hamilton, Brooklyn",Information Warfare Team Member
Protests in front of Chinese Consulate in NYC in response to COVID-19 Concerns,"520 12th Ave, New York, NY 10036",Information Warfare Team Member
Chinese American Assualted in Columbus Park - Attack Suspected to be racially motivated,"Mulberry Street &, Baxter St, New York, NY 10013",Information Warfare Team Member
Field Hosptial Constructed in Central Park,Central Park,Information Warfare Team Member
Field Hospital in Central Park Draws Protestors Claiming Military Staging for Marshall Law. ,Central Park,Information Warfare Team Member
Protestors at USS Comfort Claim Conducting Biological Tests on NYC Children,Port location in NY. ,Information Warfare Team Member
